taskId,userId,title,priority,status
TASK104,U157,Code review,Low,Pending
TASK105,U99,Research paper reading,Medium,Completed
TASK106,U36,Prepare presentation,Medium,Completed
TASK107,U275,Submit assignment,Low,Pending
TASK108,U134,Team meeting,High,Completed
TASK109,U20,Project milestone,High,Completed
TASK110,U177,Submit assignment,Medium,Pending
TASK111,U198,Backend debugging,Low,Completed
TASK112,U23,Research paper reading,Low,Pending
TASK113,U187,Research paper reading,Low,Completed
TASK114,U161,Project milestone,High,Completed
TASK115,U260,Prepare presentation,High,Completed
TASK116,U168,Research paper reading,High,Completed
TASK117,U284,Team meeting,Low,Completed
TASK118,U195,Team meeting,High,Completed
TASK119,U208,Grocery planning,Low,Completed
TASK120,U147,Code review,Medium,Completed
TASK121,U239,Workout plan,Medium,Pending
TASK122,U262,Workout plan,High,Pending
TASK123,U44,Prepare presentation,High,Completed
TASK124,U48,Code review,High,Completed
TASK125,U116,Code review,Low,Pending
TASK126,U24,Code review,Medium,Pending
TASK127,U234,Research paper reading,High,Pending
TASK128,U197,Workout plan,Medium,Pending
TASK129,U76,Study session,Low,Completed
TASK130,U113,Team meeting,High,Completed
TASK131,U26,Grocery planning,Low,Pending
TASK132,U234,Team meeting,Medium,Completed
TASK133,U227,Backend debugging,High,Completed
TASK134,U281,Workout plan,Low,Completed
TASK135,U231,Prepare presentation,Low,Completed
TASK136,U267,Workout plan,High,Pending
TASK137,U141,Workout plan,Low,Completed
TASK138,U121,Prepare presentation,Medium,Completed
TASK139,U277,Project milestone,Low,Pending
TASK140,U119,Research paper reading,High,Pending
TASK141,U110,Project milestone,Medium,Completed
TASK142,U170,Grocery planning,Medium,Completed
TASK143,U32,Code review,Medium,Completed
TASK144,U300,Study session,High,Completed
TASK145,U245,Study session,Medium,Completed
TASK146,U200,Research paper reading,High,Pending
TASK147,U250,Code review,Medium,Completed
TASK148,U249,Study session,Medium,Completed
TASK149,U208,Team meeting,Medium,Pending
TASK150,U274,Study session,Medium,Pending
TASK151,U43,Research paper reading,Low,Completed
TASK152,U94,Study session,Medium,Completed
TASK153,U168,Code review,Medium,Completed
TASK154,U173,Research paper reading,Medium,Completed
TASK155,U130,Project milestone,Medium,Pending
TASK156,U277,Study session,Medium,Pending
TASK157,U36,Study session,Low,Pending
TASK158,U103,Study session,High,Pending
TASK159,U123,Team meeting,Medium,Pending
TASK160,U289,Code review,Medium,Completed
TASK161,U189,Team meeting,High,Pending
TASK162,U84,Prepare presentation,Low,Pending
TASK163,U160,Backend debugging,High,Completed
TASK164,U204,Code review,Low,Pending
TASK165,U53,Prepare presentation,High,Pending
TASK166,U290,Study session,Medium,Completed
TASK167,U190,Project milestone,High,Completed
TASK168,U7,Research paper reading,Medium,Pending
TASK169,U222,Submit assignment,High,Completed
TASK170,U79,Research paper reading,Low,Completed
TASK171,U276,Workout plan,Medium,Completed
TASK172,U138,Submit assignment,Low,Pending
TASK173,U143,Workout plan,Low,Completed
TASK174,U292,Backend debugging,High,Completed
TASK175,U173,Study session,Medium,Completed
TASK176,U94,Workout plan,Low,Completed
TASK177,U133,Submit assignment,Medium,Completed
TASK178,U285,Study session,High,Pending
TASK179,U44,Code review,High,Completed
TASK180,U251,Grocery planning,Low,Completed
TASK181,U252,Workout plan,Low,Pending
TASK182,U151,Code review,Medium,Pending
TASK183,U157,Backend debugging,Medium,Completed
TASK184,U284,Grocery planning,Medium,Completed
TASK185,U282,Submit assignment,Medium,Completed
TASK186,U139,Prepare presentation,Medium,Pending
TASK187,U62,Code review,Medium,Pending
TASK188,U275,Team meeting,Low,Pending
TASK189,U248,Prepare presentation,High,Completed
TASK190,U52,Code review,Medium,Pending
TASK191,U185,Team meeting,Medium,Pending
TASK192,U274,Team meeting,Medium,Pending
TASK193,U28,Grocery planning,Medium,Pending
TASK194,U252,Project milestone,Low,Completed
TASK195,U241,Workout plan,Medium,Completed
TASK196,U95,Study session,Medium,Completed
TASK197,U59,Project milestone,Medium,Completed
TASK198,U38,Backend debugging,High,Pending
TASK199,U78,Team meeting,High,Completed
TASK200,U44,Code review,Low,Completed
TASK201,U116,Grocery planning,Medium,Completed
TASK202,U227,Prepare presentation,High,Completed
TASK203,U157,Backend debugging,High,Pending
TASK204,U51,Code review,High,Pending
TASK205,U136,Project milestone,Low,Pending
TASK206,U89,Grocery planning,Low,Pending
TASK207,U2,Research paper reading,Medium,Completed
TASK208,U150,Study session,Low,Completed
TASK209,U145,Workout plan,Low,Pending
TASK210,U136,Backend debugging,High,Pending
TASK211,U218,Project milestone,High,Pending
TASK212,U77,Prepare presentation,Low,Pending
TASK213,U31,Team meeting,Medium,Completed
TASK214,U225,Project milestone,Medium,Completed
TASK215,U207,Prepare presentation,High,Completed
TASK216,U225,Project milestone,High,Pending
TASK217,U222,Submit assignment,High,Completed
TASK218,U14,Project milestone,Low,Pending
TASK219,U138,Backend debugging,Low,Pending
TASK220,U241,Grocery planning,High,Completed
TASK221,U143,Team meeting,High,Completed
TASK222,U252,Project milestone,Medium,Completed
TASK223,U210,Submit assignment,Medium,Pending
TASK224,U83,Submit assignment,Medium,Completed
TASK225,U148,Research paper reading,High,Pending
TASK226,U233,Project milestone,Medium,Completed
TASK227,U166,Project milestone,Medium,Pending
TASK228,U278,Workout plan,Medium,Pending
TASK229,U97,Grocery planning,Medium,Completed
TASK230,U227,Study session,Low,Completed
TASK231,U282,Team meeting,Medium,Completed
TASK232,U249,Project milestone,Low,Pending
TASK233,U82,Prepare presentation,High,Pending
TASK234,U283,Research paper reading,Low,Pending
TASK235,U59,Workout plan,Low,Pending
TASK236,U256,Prepare presentation,High,Completed
TASK237,U213,Workout plan,Medium,Pending
TASK238,U234,Grocery planning,Low,Completed
TASK239,U98,Backend debugging,High,Pending
TASK240,U36,Prepare presentation,Medium,Completed
TASK241,U260,Prepare presentation,Low,Completed
TASK242,U153,Backend debugging,High,Completed
TASK243,U77,Workout plan,High,Completed
TASK244,U177,Submit assignment,High,Completed
TASK245,U234,Submit assignment,Low,Pending
TASK246,U293,Research paper reading,Low,Completed
TASK247,U23,Submit assignment,High,Completed
TASK248,U196,Research paper reading,High,Pending
TASK249,U254,Study session,Low,Completed
TASK250,U52,Workout plan,Low,Completed
TASK251,U8,Team meeting,Medium,Pending
TASK252,U39,Workout plan,Medium,Completed
TASK253,U204,Project milestone,Medium,Completed
TASK254,U163,Workout plan,High,Pending
TASK255,U36,Code review,High,Completed
TASK256,U117,Project milestone,Medium,Pending
TASK257,U52,Workout plan,Low,Completed
TASK258,U15,Study session,Medium,Pending
TASK259,U151,Submit assignment,Medium,Completed
TASK260,U75,Code review,High,Completed
TASK261,U290,Team meeting,Low,Pending
TASK262,U41,Backend debugging,Medium,Pending
TASK263,U255,Backend debugging,Low,Pending
TASK264,U237,Prepare presentation,Medium,Completed
TASK265,U5,Workout plan,Medium,Pending
TASK266,U38,Workout plan,Medium,Completed
TASK267,U218,Prepare presentation,Medium,Completed
TASK268,U102,Research paper reading,Medium,Pending
TASK269,U122,Research paper reading,High,Completed
TASK270,U295,Prepare presentation,High,Completed
TASK271,U12,Research paper reading,Medium,Pending
TASK272,U290,Study session,High,Completed
TASK273,U147,Code review,High,Completed
TASK274,U113,Code review,High,Completed
TASK275,U71,Project milestone,High,Pending
TASK276,U159,Workout plan,Low,Completed
TASK277,U68,Project milestone,Medium,Completed
TASK278,U213,Team meeting,Low,Pending
TASK279,U277,Submit assignment,High,Completed
TASK280,U85,Prepare presentation,Medium,Completed
TASK281,U174,Project milestone,Medium,Pending
TASK282,U73,Code review,High,Completed
TASK283,U286,Submit assignment,Low,Completed
TASK284,U8,Prepare presentation,High,Pending
TASK285,U233,Submit assignment,High,Completed
TASK286,U300,Research paper reading,High,Completed
TASK287,U56,Code review,Medium,Pending
TASK288,U288,Submit assignment,High,Pending
TASK289,U33,Workout plan,High,Completed
TASK290,U210,Project milestone,Low,Pending
TASK291,U20,Prepare presentation,Medium,Pending
TASK292,U50,Code review,High,Pending
TASK293,U199,Workout plan,Medium,Completed
TASK294,U80,Research paper reading,High,Pending
TASK295,U251,Backend debugging,Medium,Completed
TASK296,U17,Submit assignment,Low,Completed
TASK297,U228,Code review,Medium,Pending
TASK298,U189,Grocery planning,High,Completed
TASK299,U32,Research paper reading,Medium,Pending
TASK300,U63,Workout plan,Low,Pending
TASK301,U11,Study session,Medium,Pending
TASK302,U65,Backend debugging,Low,Pending
TASK303,U284,Code review,High,Pending
TASK304,U120,Submit assignment,Low,Pending
TASK305,U142,Team meeting,Low,Completed
TASK306,U90,Project milestone,High,Pending
TASK307,U68,Study session,Medium,Pending
TASK308,U166,Study session,Low,Completed
TASK309,U27,Team meeting,High,Completed
TASK310,U270,Project milestone,High,Pending
TASK311,U244,Workout plan,Medium,Pending
TASK312,U232,Grocery planning,Low,Pending
TASK313,U267,Prepare presentation,Medium,Pending
TASK314,U32,Workout plan,Medium,Completed
TASK315,U56,Workout plan,High,Completed
TASK316,U38,Project milestone,Medium,Pending
TASK317,U34,Team meeting,Medium,Completed
TASK318,U196,Backend debugging,High,Completed
TASK319,U233,Grocery planning,High,Completed
TASK320,U51,Project milestone,High,Pending
TASK321,U221,Workout plan,Low,Completed
TASK322,U174,Workout plan,Medium,Completed
TASK323,U49,Submit assignment,Medium,Completed
TASK324,U131,Submit assignment,Low,Completed
TASK325,U35,Project milestone,Low,Pending
TASK326,U222,Project milestone,High,Completed
TASK327,U67,Grocery planning,Low,Completed
TASK328,U63,Research paper reading,Medium,Completed
TASK329,U27,Prepare presentation,High,Completed
TASK330,U181,Project milestone,High,Pending
TASK331,U80,Workout plan,Low,Pending
TASK332,U180,Grocery planning,Medium,Pending
TASK333,U143,Backend debugging,Low,Completed
TASK334,U288,Backend debugging,High,Pending
TASK335,U137,Study session,Low,Completed
TASK336,U159,Submit assignment,Medium,Pending
TASK337,U93,Team meeting,High,Completed
TASK338,U36,Team meeting,High,Pending
TASK339,U47,Grocery planning,Low,Completed
TASK340,U215,Workout plan,Medium,Pending
TASK341,U190,Prepare presentation,High,Completed
TASK342,U291,Backend debugging,Low,Pending
TASK343,U80,Team meeting,High,Pending
TASK344,U42,Prepare presentation,Medium,Completed
TASK345,U249,Backend debugging,Medium,Completed
TASK346,U140,Code review,High,Pending
TASK347,U177,Research paper reading,Low,Completed
TASK348,U250,Grocery planning,High,Completed
TASK349,U24,Code review,Medium,Pending
TASK350,U4,Code review,Medium,Pending
TASK351,U71,Prepare presentation,Medium,Completed
TASK352,U62,Study session,Medium,Completed
TASK353,U90,Team meeting,Medium,Pending
TASK354,U257,Grocery planning,High,Completed
TASK355,U37,Research paper reading,High,Pending
TASK356,U224,Study session,Medium,Pending
TASK357,U161,Backend debugging,Medium,Completed
TASK358,U214,Prepare presentation,Low,Completed
TASK359,U11,Submit assignment,Low,Completed
TASK360,U186,Project milestone,Medium,Pending
TASK361,U125,Research paper reading,High,Completed
TASK362,U269,Project milestone,Medium,Completed
TASK363,U174,Code review,Medium,Pending
TASK364,U40,Grocery planning,High,Pending
TASK365,U272,Grocery planning,Low,Completed
TASK366,U180,Team meeting,Low,Pending
TASK367,U75,Prepare presentation,Low,Pending
TASK368,U79,Project milestone,Low,Completed
TASK369,U238,Backend debugging,High,Completed
TASK370,U290,Backend debugging,Medium,Completed
TASK371,U78,Workout plan,Low,Completed
TASK372,U227,Prepare presentation,Medium,Pending
TASK373,U181,Grocery planning,Low,Completed
TASK374,U237,Workout plan,Low,Pending
TASK375,U189,Prepare presentation,Low,Pending
TASK376,U260,Research paper reading,Medium,Pending
TASK377,U231,Backend debugging,High,Pending
TASK378,U165,Backend debugging,Medium,Pending
TASK379,U32,Workout plan,Low,Completed
TASK380,U44,Grocery planning,High,Pending
TASK381,U21,Code review,High,Completed
TASK382,U225,Grocery planning,High,Pending
TASK383,U187,Submit assignment,Medium,Completed
TASK384,U210,Submit assignment,High,Pending
TASK385,U172,Project milestone,Medium,Pending
TASK386,U286,Research paper reading,Medium,Completed
TASK387,U77,Submit assignment,Low,Pending
TASK388,U180,Prepare presentation,High,Completed
TASK389,U67,Backend debugging,High,Pending
TASK390,U159,Grocery planning,Medium,Completed
TASK391,U66,Grocery planning,Low,Completed
TASK392,U261,Submit assignment,Low,Completed
TASK393,U159,Team meeting,Low,Completed
TASK394,U249,Code review,Low,Pending
TASK395,U80,Project milestone,Medium,Pending
TASK396,U260,Grocery planning,High,Pending
TASK397,U173,Backend debugging,Low,Completed
TASK398,U79,Team meeting,Low,Pending
TASK399,U225,Study session,Medium,Completed
TASK400,U122,Workout plan,High,Completed
TASK401,U230,Code review,High,Pending
TASK402,U159,Workout plan,Low,Completed
TASK403,U293,Workout plan,Medium,Completed
TASK404,U196,Grocery planning,High,Completed
TASK405,U83,Code review,High,Pending
TASK406,U129,Study session,High,Completed
TASK407,U191,Grocery planning,Low,Pending
TASK408,U146,Project milestone,Low,Completed
TASK409,U231,Grocery planning,Low,Completed
TASK410,U47,Code review,Medium,Completed
TASK411,U14,Research paper reading,Low,Completed
TASK412,U258,Submit assignment,Low,Completed
TASK413,U42,Submit assignment,Low,Pending
TASK414,U164,Project milestone,High,Completed
TASK415,U75,Team meeting,Low,Completed
TASK416,U242,Team meeting,High,Completed
TASK417,U230,Backend debugging,Low,Pending
TASK418,U10,Prepare presentation,Low,Pending
TASK419,U281,Backend debugging,High,Completed
TASK420,U57,Prepare presentation,Low,Completed
TASK421,U63,Study session,Low,Completed
TASK422,U235,Project milestone,Low,Completed
TASK423,U275,Study session,High,Pending
TASK424,U74,Prepare presentation,Medium,Pending
TASK425,U181,Code review,High,Completed
TASK426,U96,Project milestone,High,Completed
TASK427,U35,Grocery planning,High,Pending
TASK428,U200,Workout plan,Low,Completed
TASK429,U192,Prepare presentation,High,Pending
TASK430,U183,Project milestone,Medium,Pending
TASK431,U54,Backend debugging,High,Completed
TASK432,U69,Study session,Medium,Completed
TASK433,U90,Workout plan,High,Completed
TASK434,U94,Team meeting,Low,Completed
TASK435,U19,Prepare presentation,Low,Pending
TASK436,U103,Study session,Medium,Completed
TASK437,U264,Research paper reading,High,Completed
TASK438,U130,Study session,High,Pending
TASK439,U147,Submit assignment,Low,Completed
TASK440,U140,Project milestone,Medium,Completed
TASK441,U205,Workout plan,Medium,Completed
TASK442,U96,Workout plan,High,Completed
TASK443,U189,Grocery planning,Medium,Pending
TASK444,U218,Project milestone,Medium,Pending
TASK445,U280,Prepare presentation,Medium,Pending
TASK446,U41,Submit assignment,High,Completed
TASK447,U157,Workout plan,High,Completed
TASK448,U86,Workout plan,Medium,Completed
TASK449,U22,Submit assignment,High,Completed
TASK450,U141,Study session,Low,Completed
TASK451,U187,Grocery planning,High,Pending
TASK452,U16,Team meeting,High,Completed
TASK453,U18,Team meeting,Low,Pending
TASK454,U188,Submit assignment,Medium,Pending
TASK455,U79,Workout plan,Medium,Completed
TASK456,U228,Project milestone,High,Pending
TASK457,U272,Submit assignment,Medium,Completed
TASK458,U143,Code review,Low,Pending
TASK459,U96,Workout plan,High,Completed
TASK460,U288,Project milestone,Medium,Completed
TASK461,U229,Code review,High,Completed
TASK462,U252,Code review,Low,Pending
TASK463,U38,Workout plan,Low,Completed
TASK464,U45,Submit assignment,High,Completed
TASK465,U34,Grocery planning,High,Completed
TASK466,U154,Team meeting,High,Pending
TASK467,U186,Grocery planning,Low,Pending
TASK468,U103,Team meeting,Low,Completed
TASK469,U14,Submit assignment,High,Completed
TASK470,U240,Grocery planning,Low,Pending
TASK471,U34,Prepare presentation,Medium,Completed
TASK472,U270,Research paper reading,Medium,Pending
TASK473,U65,Submit assignment,High,Pending
TASK474,U231,Workout plan,High,Completed
TASK475,U66,Grocery planning,High,Pending
TASK476,U67,Research paper reading,High,Pending
TASK477,U64,Grocery planning,Low,Completed
TASK478,U85,Team meeting,Medium,Pending
TASK479,U178,Grocery planning,Medium,Pending
TASK480,U129,Code review,High,Completed
TASK481,U65,Prepare presentation,High,Pending
TASK482,U258,Team meeting,High,Pending
TASK483,U88,Backend debugging,High,Completed
TASK484,U289,Study session,Low,Pending
TASK485,U24,Backend debugging,Medium,Pending
TASK486,U293,Research paper reading,High,Pending
TASK487,U255,Grocery planning,Medium,Completed
TASK488,U248,Code review,High,Completed
TASK489,U153,Workout plan,Low,Pending
TASK490,U81,Workout plan,Medium,Completed
TASK491,U238,Code review,Medium,Pending
TASK492,U161,Submit assignment,High,Completed
TASK493,U205,Team meeting,Medium,Pending
TASK494,U164,Code review,Medium,Pending
TASK495,U137,Workout plan,Low,Pending
TASK496,U50,Study session,Medium,Completed
TASK497,U215,Code review,Low,Completed
TASK498,U296,Submit assignment,Low,Pending
TASK499,U256,Grocery planning,Medium,Completed
TASK500,U158,Workout plan,Low,Pending
TASK501,U202,Grocery planning,Medium,Pending
TASK502,U111,Backend debugging,Medium,Pending
TASK503,U26,Prepare presentation,Medium,Completed
TASK504,U147,Grocery planning,Low,Pending
TASK505,U221,Team meeting,Medium,Completed
TASK506,U207,Submit assignment,Low,Completed
TASK507,U27,Backend debugging,High,Pending
TASK508,U186,Grocery planning,Medium,Pending
TASK509,U198,Grocery planning,Medium,Completed
TASK510,U61,Team meeting,Low,Completed
TASK511,U192,Submit assignment,High,Completed
TASK512,U74,Code review,High,Completed
TASK513,U257,Study session,Low,Pending
TASK514,U71,Submit assignment,Medium,Completed
TASK515,U77,Backend debugging,High,Pending
TASK516,U168,Backend debugging,Medium,Pending
TASK517,U202,Backend debugging,High,Completed
TASK518,U173,Grocery planning,High,Completed
TASK519,U289,Prepare presentation,Medium,Pending
TASK520,U189,Submit assignment,High,Pending
TASK521,U214,Backend debugging,Medium,Pending
TASK522,U243,Prepare presentation,High,Pending
TASK523,U27,Backend debugging,Medium,Pending
TASK524,U269,Backend debugging,Medium,Pending
TASK525,U125,Study session,High,Pending
TASK526,U98,Study session,Medium,Completed
TASK527,U215,Team meeting,Medium,Pending
TASK528,U211,Grocery planning,High,Completed
TASK529,U32,Team meeting,High,Pending
TASK530,U288,Submit assignment,High,Completed
TASK531,U270,Research paper reading,Medium,Pending
TASK532,U236,Grocery planning,Medium,Completed
TASK533,U136,Backend debugging,Medium,Pending
TASK534,U127,Prepare presentation,High,Completed
TASK535,U116,Prepare presentation,Medium,Pending
TASK536,U251,Submit assignment,Medium,Completed
TASK537,U287,Prepare presentation,Medium,Pending
TASK538,U294,Grocery planning,Medium,Completed
TASK539,U177,Team meeting,Medium,Pending
TASK540,U148,Project milestone,Medium,Completed
TASK541,U132,Workout plan,Low,Pending
TASK542,U276,Prepare presentation,High,Completed
TASK543,U71,Project milestone,High,Pending
TASK544,U125,Study session,High,Pending
TASK545,U120,Study session,Low,Completed
TASK546,U170,Workout plan,Low,Pending
TASK547,U3,Grocery planning,Low,Completed
TASK548,U244,Workout plan,High,Pending
TASK549,U148,Submit assignment,Medium,Pending
TASK550,U46,Backend debugging,Low,Pending
TASK551,U90,Research paper reading,Low,Pending
TASK552,U204,Workout plan,Low,Completed
TASK553,U20,Study session,Medium,Pending
TASK554,U172,Prepare presentation,Medium,Completed
TASK555,U69,Grocery planning,Medium,Completed
TASK556,U99,Project milestone,Medium,Pending
TASK557,U235,Prepare presentation,High,Pending
TASK558,U8,Submit assignment,Medium,Pending
TASK559,U90,Backend debugging,High,Completed
TASK560,U219,Grocery planning,Medium,Pending
TASK561,U206,Project milestone,Low,Pending
TASK562,U245,Submit assignment,Low,Pending
TASK563,U134,Research paper reading,Low,Completed
TASK564,U137,Submit assignment,Medium,Pending
TASK565,U134,Submit assignment,High,Pending
TASK566,U32,Project milestone,Medium,Completed
TASK567,U82,Research paper reading,High,Completed
TASK568,U61,Prepare presentation,Medium,Pending
TASK569,U113,Team meeting,Medium,Pending
TASK570,U233,Backend debugging,Medium,Completed
TASK571,U282,Workout plan,High,Pending
TASK572,U127,Backend debugging,Low,Completed
TASK573,U271,Submit assignment,Low,Pending
TASK574,U32,Grocery planning,High,Pending
TASK575,U294,Grocery planning,Low,Pending
TASK576,U168,Grocery planning,Medium,Pending
TASK577,U106,Backend debugging,Medium,Pending
TASK578,U262,Workout plan,Low,Completed
TASK579,U68,Grocery planning,Medium,Completed
TASK580,U289,Study session,High,Completed
TASK581,U158,Study session,Medium,Completed
TASK582,U2,Code review,High,Pending
TASK583,U24,Research paper reading,Medium,Pending
TASK584,U278,Study session,Low,Completed
TASK585,U17,Prepare presentation,Medium,Pending
TASK586,U70,Research paper reading,Medium,Completed
TASK587,U230,Research paper reading,Medium,Pending
TASK588,U277,Team meeting,High,Completed
TASK589,U61,Team meeting,High,Completed
TASK590,U271,Team meeting,High,Pending
TASK591,U2,Study session,Medium,Completed
TASK592,U279,Research paper reading,High,Completed
TASK593,U118,Code review,Medium,Completed
TASK594,U80,Prepare presentation,Low,Pending
TASK595,U17,Research paper reading,High,Pending
TASK596,U124,Code review,Low,Pending
TASK597,U18,Workout plan,High,Pending
TASK598,U126,Study session,Medium,Completed
TASK599,U120,Grocery planning,Low,Pending
TASK600,U72,Grocery planning,Medium,Pending
TASK601,U295,Submit assignment,High,Completed
TASK602,U122,Prepare presentation,Low,Pending
TASK603,U212,Prepare presentation,Medium,Pending
TASK604,U286,Backend debugging,High,Pending
TASK605,U219,Grocery planning,Medium,Pending
TASK606,U177,Research paper reading,High,Completed
TASK607,U214,Research paper reading,Low,Completed
TASK608,U193,Team meeting,High,Completed
TASK609,U124,Code review,Medium,Pending
TASK610,U238,Study session,High,Completed
TASK611,U214,Grocery planning,High,Pending
TASK612,U199,Code review,Medium,Pending
TASK613,U170,Project milestone,Medium,Completed
TASK614,U48,Grocery planning,High,Pending
TASK615,U27,Prepare presentation,Medium,Pending
TASK616,U38,Code review,High,Pending
TASK617,U246,Code review,Medium,Completed
TASK618,U8,Code review,Low,Pending
TASK619,U246,Code review,High,Pending
TASK620,U204,Code review,High,Completed
TASK621,U145,Research paper reading,Medium,Completed
TASK622,U158,Prepare presentation,Medium,Completed
TASK623,U239,Project milestone,High,Completed
TASK624,U164,Code review,Medium,Completed
TASK625,U212,Study session,High,Pending
TASK626,U75,Study session,Medium,Completed
TASK627,U152,Team meeting,Low,Completed
TASK628,U118,Research paper reading,High,Pending
TASK629,U256,Grocery planning,High,Completed
TASK630,U132,Workout plan,High,Completed
TASK631,U236,Team meeting,High,Completed
TASK632,U87,Team meeting,High,Completed
TASK633,U95,Grocery planning,High,Pending
TASK634,U269,Study session,Low,Pending
TASK635,U4,Research paper reading,Low,Pending
TASK636,U35,Team meeting,Low,Pending
TASK637,U259,Workout plan,Medium,Pending
TASK638,U248,Workout plan,Low,Pending
TASK639,U273,Grocery planning,Medium,Pending
TASK640,U9,Grocery planning,High,Completed
TASK641,U275,Prepare presentation,Low,Completed
TASK642,U92,Project milestone,Low,Pending
TASK643,U124,Code review,High,Completed
TASK644,U182,Prepare presentation,Medium,Pending
TASK645,U192,Research paper reading,Medium,Pending
TASK646,U116,Prepare presentation,High,Pending
TASK647,U17,Project milestone,Medium,Completed
TASK648,U194,Grocery planning,Medium,Pending
TASK649,U5,Team meeting,Low,Completed
TASK650,U223,Submit assignment,High,Pending
TASK651,U271,Study session,Low,Pending
TASK652,U291,Workout plan,Medium,Pending
TASK653,U39,Prepare presentation,High,Pending
TASK654,U92,Submit assignment,Low,Pending
TASK655,U74,Research paper reading,Low,Completed
TASK656,U84,Backend debugging,Low,Completed
TASK657,U277,Submit assignment,Medium,Pending
TASK658,U41,Grocery planning,High,Completed
